condition,k,fold_index,pr_auc
informed,11,31,0.8547755203789793
informed,11,32,0.8625343745140521
informed,11,33,0.9629636101465349
informed,11,34,0.85246859313968
informed,11,35,0.8814920069141852
informed,11,36,0.8419962677817996
informed,11,37,0.8686598437068362
informed,11,38,0.8734181537199519
informed,11,39,0.9385702607318387
informed,11,40,0.9406166803814613
informed,11,41,0.9309363597399867
informed,11,42,0.880444338255306
informed,11,43,0.749752446431708
informed,11,44,0.8201613088671769
informed,11,45,0.9241614768537134
informed,11,46,0.8534184048314204
informed,11,47,0.8740244349488049
informed,11,48,0.9619443436393902
informed,11,49,0.8701127214980944
contrast_artifact_trio,3,0,0.9649655743975518
contrast_artifact_trio,3,1,0.9179112542639649
contrast_artifact_trio,3,2,0.9592082598474059
contrast_artifact_trio,3,3,0.9814462042126795
contrast_artifact_trio,3,4,0.9419014785401341
contrast_artifact_trio,3,5,0.9712147203742791
contrast_artifact_trio,3,6,0.955022429574619
contrast_artifact_trio,3,7,0.9908424908424909
contrast_artifact_trio,3,8,0.9101428921379662
contrast_artifact_trio,3,9,0.9379773338386912
contrast_artifact_trio,3,10,0.9567907638830708
contrast_artifact_trio,3,11,0.98870442150926
contrast_artifact_trio,3,12,0.9756315385606005
contrast_artifact_trio,3,13,0.9575006469776965
contrast_artifact_trio,3,14,0.9208614522581724
contrast_artifact_trio,3,15,0.972999416890143
contrast_artifact_trio,3,16,0.9278838519293398
contrast_artifact_trio,3,17,1.0000000000000002
contrast_artifact_trio,3,18,0.9045932678469
contrast_artifact_trio,3,19,0.9294526134092089
contrast_artifact_trio,3,20,0.9930069930069929
contrast_artifact_trio,3,21,0.931482944873038
contrast_artifact_trio,3,22,0.9885749171463458
contrast_artifact_trio,3,23,0.8966477247993667
contrast_artifact_trio,3,24,0.9431571988396332
contrast_artifact_trio,3,25,0.9469113402936931
contrast_artifact_trio,3,26,0.9771070047647843
contrast_artifact_trio,3,27,0.8669096673428156
contrast_artifact_trio,3,28,0.9761904761904763
contrast_artifact_trio,3,29,0.9761093932522507
contrast_artifact_trio,3,30,0.9345804282108108
contrast_artifact_trio,3,31,0.9880352034487374
contrast_artifact_trio,3,32,0.9240017458116656
contrast_artifact_trio,3,33,0.9552362014204121
contrast_artifact_trio,3,34,0.9563680988964789
contrast_artifact_trio,3,35,0.9429665560338569
contrast_artifact_trio,3,36,0.9769463340891915
contrast_artifact_trio,3,37,0.9173260028582286
contrast_artifact_trio,3,38,1.0000000000000002
contrast_artifact_trio,3,39,0.9532500128197734
contrast_artifact_trio,3,40,0.927009401274107
contrast_artifact_trio,3,41,0.979042172771381
contrast_artifact_trio,3,42,0.9756315385606005
contrast_artifact_trio,3,43,0.9319880788368184
contrast_artifact_trio,3,44,0.9336816930164911
contrast_artifact_trio,3,45,0.9556314605118432
contrast_artifact_trio,3,46,0.932569836995303
